Inclui transações da Amazon Marketplace; Fulfillment by Amazon (FBA); e Amazon Webstore;;;;;;;;;;;;;;;;;;;;
Todas as quantias em BRL; a menos que especificado;;;;;;;;;;;;;;;;;;;;;
Definições:;;;;;;;;;;;;;;;;;;;;;;
Imposto de vendas coletados: Inclui impostos sobre vendas coletados de compradores para vendas de produtos; envio e embalagem para presente.;;;;;;;;;;;;;;;;;;;;;
Tarifas de venda: Inclui tarifas de fechamento variável e tarifas de referência.;;;;;;;;;;;;;;;;;;;;;;
Outras taxas de transação: Inclui cobranças retroativas de envio; retenção de envi; taxas por item e taxas de coleta de impostos de vendas.;;;;;;;;;;;;;;;;;;;;
Outros: Inclui quantias de transação não relacionadas a pedidos. Para obter mais detalhes;" consulte as colunas ""Tipo"" e ""Descrição"" para cada ID de pedido.";;;;;;;;;;;;;;;;;;;;;
data/hora;id de liquidação;tipo;id do pedido;sku;descrição;quantidade;mercado;tipo de conta;atendimento;cidade do pedido;estado do pedido;postal do pedido;vendas do produto;créditos de remessa;créditos de embalagem de presente;descontos promocionais;imposto de vendas coletados;tarifas de venda;taxas fba;taxas de outras transações;outro;total
3 de jan. de 2026 04:49:25 GMT-8;25241916271;Pedido;701-3110931-6995421;GH-BE8P-H3G8;Meditações em Provérbios: Sabedoria Para uma Vida Teocêntrica (Volume 2);1;amazon.com.br;Crédito Mastercard e outros;Amazon;Rio de Janeiro;RJ;22631;122,9;8,9;0;-8,9;0;-20,28;-16,05;0;0;86,57
3 de jan. de 2026 05:13:39 GMT-8;25242028381;Pedido;702-1263081-5877012;698923;Orando as promessas de Deus: Uma promessa de Deus para cada dia do ano;1;amazon.com.br;Boleto;Vendedor;Campo Formoso;BA;44790;51,9;21,35;0;0;0;-7,79;0;0;0;65,46
3 de jan. de 2026 05:28:42 GMT-8;25296870171;Pedido;702-0428800-0987405;VA-5N7A-ZMX7;Bíblia Trindade - Marrom - Heziom - Letra Grande;1;amazon.com.br;Visa Crédito;Amazon;Olinda;PE;53050;109,9;0;0;0;0;-18,14;-14,05;0;0;77,71
3 de jan. de 2026 06:04:41 GMT-8;25242028381;Pedido;702-0483349-9167415;698923;Orando as promessas de Deus: Uma promessa de Deus para cada dia do ano;1;amazon.com.br;Boleto;Vendedor;Rio de Janeiro;RJ;20720;51,9;0;0;0;0;-7,79;0;0;0;44,11
3 de jan. de 2026 06:31:12 GMT-8;25242028381;Pedido;702-4162860-9774607;698923;Orando as promessas de Deus: Uma promessa de Deus para cada dia do ano;1;amazon.com.br;Boleto;Vendedor;Pinhais;Paraná;83320;51,9;0;0;0;0;-7,79;0;0;0;44,11
3 de jan. de 2026 07:32:21 GMT-8;25241916271;Pedido;702-2443054-6785065;698883;Mães da aliança 2026: Orando pelos filhos com base nas promessas de Deus;1;amazon.com.br;Crédito Mastercard e outros;Vendedor;Reginópolis;SP;17190;99,9;0;0;0;0;-14,99;0;0;0;84,91
3 de jan. de 2026 18:52:43 GMT-8;25241916271;Pedido;701-4999084-6085019;9,78655E+12;Bíblia Solas Reformata;1;amazon.com.br;Crédito Mastercard e outros;Vendedor;Brasília;DF;71587;96;0;0;0;0;-14,4;0;0;0;81,6
4 de jan. de 2026 03:04:35 GMT-8;25296870171;Pedido;702-9794265-2175434;698883;Mães da aliança 2026: Orando pelos filhos com base nas promessas de Deus;2;amazon.com.br;Visa Crédito;Vendedor;Recife;PE;52020;199,8;0;0;0;0;-29,98;0;0;0;169,82
4 de jan. de 2026 03:43:30 GMT-8;25242028381;Pedido;701-9825717-9358634;VA-5N7A-ZMX7;Bíblia Trindade - Marrom - Heziom - Letra Grande;1;amazon.com.br;Boleto;Amazon;Contagem;MG;32183;109,9;0;0;0;0;-18,14;-14,05;0;0;77,71
4 de jan. de 2026 05:24:06 GMT-8;25296870171;Pedido;702-6489165-1652254;9,78655E+12;Meditações em Provérbios: Sabedoria Para uma Vida Teocêntrica (Volume 2);1;amazon.com.br;Visa Crédito;Vendedor;PARNAÍBA;PI;64215;89,9;0;0;0;0;-13,49;0;0;0;76,41
4 de jan. de 2026 06:00:57 GMT-8;25241916271;Pedido;702-6138840-6455413;698923;Orando as promessas de Deus: Uma promessa de Deus para cada dia do ano;1;amazon.com.br;Crédito Mastercard e outros;Vendedor;Uberlândia;MG;38413;51,9;0;0;0;0;-7,79;0;0;0;44,11
4 de jan. de 2026 06:04:27 GMT-8;25296870171;Pedido;702-4254722-8911433;9,78655E+12;Meditações em Provérbios: Sabedoria Para uma Vida Teocêntrica (Volume 2);1;amazon.com.br;Visa Crédito;Vendedor;Vila Velha;ES;29102;89,9;0;0;0;0;-13,49;0;0;0;76,41
4 de jan. de 2026 06:17:29 GMT-8;25241916271;Pedido;702-9838131-8537832;698923;Orando as promessas de Deus: Uma promessa de Deus para cada dia do ano;1;amazon.com.br;Crédito Mastercard e outros;Vendedor;Juiz de Fora;MG;36037;51,9;0;0;0;0;-7,79;0;0;0;44,11
4 de jan. de 2026 06:23:25 GMT-8;25241916271;Pedido;701-6378682-3584231;9,78655E+12;Meditações em Provérbios: Sabedoria Para uma Vida Teocêntrica (Volume 2);1;amazon.com.br;Crédito Mastercard e outros;Vendedor;Curitiba;PR;81010;89,9;0;0;0;0;-13,49;0;0;0;76,41
4 de jan. de 2026 06:57:38 GMT-8;25242028381;Pedido;702-3685135-4813816;8D-7237-RPFR_FBA;O Alfabeto de Ouro - Comentário Bíblico do Salmo 119: Lições do Salmo 119 para sua vida;1;amazon.com.br;Boleto;Amazon;João Pessoa;PB;58057;98,9;0;0;0;0;-14,84;-12,05;0;0;72,01
4 de jan. de 2026 07:00:32 GMT-8;25296870171;Pedido;701-6850289-2901801;698883;Mães da aliança 2026: Orando pelos filhos com base nas promessas de Deus;1;amazon.com.br;Visa Crédito;Vendedor;Natal;RN;59014;99,9;0;0;0;0;-14,99;0;0;0;84,91
4 de jan. de 2026 07:04:34 GMT-8;25242028381;Pedido;701-8737441-0383424;9,78655E+12;Meditações em Provérbios: Sabedoria Para uma Vida Teocêntrica (Volume 2);1;amazon.com.br;Boleto;Vendedor;Macaé;RJ;27930;89,9;0;0;0;0;-13,49;0;0;0;76,41
